id,model-id,model,intelligence,speed,text-input,image-input,voice-input,video-input,text-output,image-output,audio-output,video-output,reasoning,input-price,cached-input,output-price,window-context,max-output,knowledge-cutoff,completion-endpoint,responses-endpoint,assistants-endpoint,batch-endpoint,fine-tuning-endpoint,streaming,function-calling,structured-output,fine-tuning,distillation,predicted-outputs,rate-limit-free,rate-limit-tier-one,rate-limit-tier-two,rate-limit-tier-three,rate-limit-tier-four,rate-limit-tier-five,
1,openai/chatgpt-4o-latest,ChatGPT-4o,3,3,1,1,0,0,1,0,0,0,0,5,,15,128000,16384,2023-10-01,1,1,0,0,0,1,0,0,0,0,1,,30000,450000,800000,2000000,30000000,
2,openai/gpt-4.1,GPT-4.1,4,3,1,1,0,0,1,0,0,0,0,2,0.5,8,1047576,32768,2024-06-01,1,1,1,1,1,1,1,1,1,1,1,,30000,450000,800000,2000000,30000000,
3,openai/o4-mini,o4-mini,4,3,1,1,0,0,1,0,0,0,1,1.1,0.28,4.4,200000,100000,2024-06-01,1,1,0,1,1,1,1,1,1,0,0,,100000,2000000,4000000,10000000,150000000,
4,openai/gpt-3.5-turbo-16k,gpt-3.5-turbo-16k-0613,1,2,1,0,0,0,1,0,0,0,0,3,,4,16385,4096,2021-09-01,1,1,0,1,0,0,0,0,1,0,0,,200000,2000000,800000,10000000,50000000,
5,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct,1,2,1,0,0,0,1,0,0,0,0,1.5,,2,4096,4096,2021-09-01,1,1,0,0,0,0,0,0,1,0,0,,200000,2000000,800000,10000000,50000000,
6,openai/gpt-3.5-turbo,GPT-3.5-turbo,1,2,1,0,0,0,1,0,0,0,0,0.5,,1.5,16385,4096,2021-09-01,1,1,0,1,1,0,0,0,1,0,0,,200000,2000000,4000000,10000000,50000000,
7,openai/gpt-4-turbo-preview,GPT-4-Turbo-Preview,2,3,1,0,0,0,1,0,0,0,0,10,,30,128000,4096,2023-12-01,1,1,1,0,0,0,0,0,1,0,0,,30000,450000,600000,800000,2000000,
8,openai/gpt-4-turbo,GPT-4-Turbo ,2,3,1,1,0,0,1,0,0,0,0,10,,30,128000,4096,2023-12-01,1,1,1,1,0,1,1,0,0,0,0,,30000,450000,600000,800000,2000000,
9,openai/gpt-4.1-mini,GPT-4.1-mini,3,4,1,1,0,0,1,0,0,0,0,0.4,0.1,1.6,1047576,32768,2024-06-01,1,1,1,1,1,1,1,1,1,0,1,"40,000",200000,2000000,4000000,10000000,150000000,
10,openai/gpt-4.1-nano,GPT-4.1-nano,2,5,1,1,0,0,1,0,0,0,0,0.1,0.03,0.4,1047576,32768,2024-06-01,1,1,1,1,1,1,1,1,1,0,1,"40,000",200000,2000000,4000000,10000000,150000000,
